date,meal_type,registered_students,actual_diners,prepared_qty,consumed_qty,waste_qty,weather,holiday,event
2026-01-01,Lunch,500,420,450,420,30,Sunny,0,0
2026-01-02,Dinner,500,300,340,300,40,Rainy,0,1
2026-01-03,Breakfast,480,350,380,350,30,Cloudy,0,0
2026-01-04,Lunch,520,450,480,450,30,Sunny,0,0
2026-01-05,Dinner,510,390,420,390,30,Rainy,1,0
2026-01-06,Lunch,530,470,500,470,30,Sunny,0,1
2026-01-07,Breakfast,450,300,330,300,30,Rainy,0,0
2026-01-08,Lunch,550,500,530,500,30,Sunny,0,0
2026-01-09,Dinner,540,460,490,460,30,Cloudy,0,1
2026-01-10,Breakfast,480,350,380,350,30,Sunny,0,0
2026-01-11,Lunch,520,480,510,480,30,Sunny,0,0
2026-01-12,Dinner,500,370,400,370,30,Rainy,0,0
2026-01-13,Lunch,530,490,520,490,30,Sunny,0,1
2026-01-14,Breakfast,470,320,350,320,30,Cloudy,0,0
2026-01-15,Lunch,560,510,540,510,30,Sunny,0,0
2026-01-16,Dinner,550,470,500,470,30,Rainy,0,0
2026-01-17,Breakfast,460,330,360,330,30,Sunny,0,0
2026-01-18,Lunch,540,500,530,500,30,Sunny,0,1
2026-01-19,Dinner,520,400,430,400,30,Cloudy,0,0
2026-01-20,Breakfast,480,340,370,340,30,Rainy,0,0
2026-01-21,Lunch,550,510,540,510,30,Sunny,0,0
2026-01-22,Dinner,530,420,450,420,30,Rainy,0,1
2026-01-23,Breakfast,470,310,340,310,30,Cloudy,0,0
2026-01-24,Lunch,560,520,550,520,30,Sunny,0,0
2026-01-25,Dinner,540,450,480,450,30,Rainy,1,0
2026-01-26,Breakfast,490,350,380,350,30,Sunny,0,0
2026-01-27,Lunch,570,530,560,530,30,Sunny,0,1
2026-01-28,Dinner,550,460,490,460,30,Cloudy,0,0
2026-01-29,Breakfast,480,330,360,330,30,Rainy,0,0
2026-01-30,Lunch,560,520,550,520,30,Sunny,0,0
2026-01-31,Dinner,540,440,470,440,30,Cloudy,0,1
2026-02-01,Breakfast,470,320,350,320,30,Sunny,0,0
2026-02-02,Lunch,550,510,540,510,30,Sunny,0,0
2026-02-03,Dinner,530,410,440,410,30,Rainy,0,0
2026-02-04,Breakfast,460,300,330,300,30,Cloudy,0,0
2026-02-05,Lunch,560,520,550,520,30,Sunny,0,1
2026-02-06,Dinner,540,450,480,450,30,Rainy,0,0
2026-02-07,Breakfast,480,340,370,340,30,Sunny,0,0
2026-02-08,Lunch,570,530,560,530,30,Sunny,0,0
2026-02-09,Dinner,550,460,490,460,30,Cloudy,0,1
2026-02-10,Breakfast,490,350,380,350,30,Rainy,0,0
2026-02-11,Lunch,580,540,570,540,30,Sunny,0,0
2026-02-12,Dinner,560,470,500,470,30,Rainy,0,0
2026-02-13,Breakfast,470,320,350,320,30,Cloudy,0,0
2026-02-14,Lunch,590,550,580,550,30,Sunny,0,1
2026-02-15,Dinner,570,480,510,480,30,Rainy,1,0
